Ellie’s Brown Ale;American Brown Ale;5.5
Pumpkin Beast;Pumpkin Ale;6.2
OktoberBeast;Märzen / Oktoberfest;7.200000000000001
Mad Beach;American Pale Wheat Ale;4.8
Hog Wild India Pale Ale;American IPA;6.7
Devils Tramping Ground Tripel;Tripel;9.2
Hot Rod Red;American Amber / Red Ale;6.1
Palate Mallet;American Double / Imperial IPA;8.6
Back East Porter;American Porter;6.0
Back East Golden Ale;American Blonde Ale;4.9
Misty Mountain IPA;American IPA;7.000000000000001
Back East Ale;American Amber / Red Ale;5.0
Truck Stop Honey Brown Ale;English Brown Ale;6.0
Naked Pig Pale Ale;American Pale Ale (APA);6.0
Topcutter India Pale Ale;American IPA;6.800000000000001
Field 41 Pale Ale;American Pale Ale (APA);4.4
Grapefruit Sculpin;American IPA;7.000000000000001
Even Keel;American IPA;3.8
Ballast Point Pale Ale;Kölsch;5.2
Big Eye India Pale Ale;American IPA;7.000000000000001
Longfin Lager;Munich Helles Lager;4.6
Sculpin IPA;American IPA;7.000000000000001
All Nighter Ale;Extra Special / Strong Bitter (ESB);4.5
Banner American Rye;Rye Beer;4.5
Banner American Ale;American Amber / Red Ale;3.5000000000000004
Thai.p.a;American IPA;7.000000000000001
Barrio Blanco;American IPA;6.0
Barrio Tucson Blonde;American Blonde Ale;4.5
Hop in the ‘Pool Helles;American Pilsner;4.9
Ultra Gnar Gnar IPA;American IPA;6.7
In-Tents India Pale Lager;American Pale Lager;6.800000000000001
Lost Meridian Wit;Witbier;5.0
Celestial Meridian Cascadian Dark Lager;Euro Dark Lager;5.1
Wagon Party;California Common / Steam Beer;5.4
Sky-Five;American IPA;6.7
Stargrazer;Schwarzbier;5.0
Wonderstuff;German Pilsener;5.4
Tarnation California-Style Lager;California Common / Steam Beer;5.3
On the Count of 3 (2015);Hefeweizen;7.000000000000001
Summer Swelter;American Pale Wheat Ale;4.7
Phantom Punch Winter Stout;Foreign / Export Stout;6.800000000000001
Hayride Autumn Ale;Rye Beer;6.6000000000000005
Celsius Summer Ale (2012);American Pale Wheat Ale;4.7
Amber Road;American Amber / Red Ale;5.5
Pamola Xtra Pale Ale;American Pale Ale (APA);4.9
Stowaway IPA;American IPA;6.9
Hoptopus Double IPA;American Double / Imperial IPA;8.8
Watermelon Ale;Fruit / Vegetable Beer;5.0
Fenway American Pale Ale;American Pale Ale (APA);5.8
Back Bay IPA;American IPA;6.800000000000001
Bunker Hill Blueberry Ale;Other;4.8
Oberon;American Pale Wheat Ale;5.8
Smitten;Rye Beer;6.0
Winter White;Witbier;5.0
Oberon;American Pale Wheat Ale;5.8
Two Hearted;American IPA;7.000000000000001
Best Brown;American Brown Ale;5.8
Moar;English India Pale Ale (IPA);4.4
Uber Lupin Schwarz IPA;American Double / Imperial IPA;8.3
Nordic Blonde;American Blonde Ale;5.7
Cold Press;American Black Ale;6.0
Harness the Winter;American IPA;7.200000000000001
14° ESB;Extra Special / Strong Bitter (ESB);5.6
Bent Hop Golden IPA;American IPA;6.2
Bent Paddle Black Ale;American Black Ale;6.0
Venture Pils;German Pilsener;5.0
Lost Sailor IPA;English India Pale Ale (IPA);5.5
Steel Rail Extra Pale Ale;American Pale Ale (APA);5.3
La Frontera Premium IPA;American IPA;7.8
Tejas Lager;Czech Pilsener;4.7
Number 22 Porter;American Porter;6.4
Big Bend Hefeweizen;Hefeweizen;5.6
Terlingua Gold;American Blonde Ale;6.0
Aprè Shred;American Strong Ale;8.1
Hemlock Double IPA;American Double / Imperial IPA;9.5
West Portal Colorado Common Summer Ale;California Common / Steam Beer;4.1
Disconnected Red;American Amber / Red Ale;6.7
Big Elm IPA;American IPA;7.000000000000001
Gerry Dog Stout;American Stout;6.5
413 Farmhouse Ale;Saison / Farmhouse Ale;6.0
Dark Star;American Stout;8.0
Ryecoe;American IPA;6.2
Blueberry Blonde;Fruit / Vegetable Beer;6.0
Galaxy IPA;American IPA;7.5
Big River Pilsner;Czech Pilsener;5.0
House Brand IPA;American IPA;6.0
Big Sky IPA;American IPA;6.2
Scape Goat Pale Ale;English Pale Ale;5.0
Montana Trout Slayer Ale;American Pale Wheat Ale;5.0
Moose Drool Brown Ale;American Brown Ale;5.1
Powder Hound Winter Ale;English Strong Ale;7.200000000000001
Moose Drool Brown Ale (2011);American Brown Ale;5.1
Montana Trout Slayer Ale (2012);American Pale Wheat Ale;5.0
Big Sky IPA (2012);American IPA;6.2
Summer Honey;American Blonde Ale;4.7
Scape Goat Pale Ale (2010);English Pale Ale;5.0
Montana Trout Slayer Ale (2009);American Pale Wheat Ale;5.0
Moose Drool Brown Ale (2009);American Brown Ale;5.1
Arcus IPA;American IPA;6.9
Wavemaker;American Amber / Red Ale;5.8
Jack Pine Savage;American Pale Ale (APA);5.3
Forest Fire Imperial Smoked Rye;Rye Beer;9.9
Bad Axe Imperial IPA;American Double / Imperial IPA;9.8
Morning Wood;Oatmeal Stout;5.5
Bark Bite IPA;American IPA;6.6000000000000005
Jalapeno Pale Ale;American Pale Ale (APA);5.5
Blown Out Brown;American Brown Ale;5.2
Single Hop Ale;American Pale Ale (APA);6.3
Sawtooth Ale;American Blonde Ale;5.4
Saucy Intruder;Rye Beer;7.200000000000001
Deception;American Blonde Ale;4.5
Blackmarket Rye IPA;American IPA;7.5
Black Market Hefeweizen;Hefeweizen;5.0
Aftermath Pale Ale;American Pale Ale (APA);5.8
American India Red Ale;American Strong Ale;7.1
American Red Porter;American Porter;7.1
American Red Saison;Saison / Farmhouse Ale;7.8
Colorado Red Ale;American Amber / Red Ale;6.6000000000000005
Saddle Bronc Brown Ale;American Brown Ale;4.8
Bomber Mountain Amber Ale;American Amber / Red Ale;4.6
Flying Sailor;Rye Beer;7.3
Nordskye;American IPA;4.8
North Third Stout;Foreign / Export Stout;6.0
Honey Lav;American Pale Wheat Ale;5.2
Coconut Brown Ale;American Brown Ale;6.800000000000001
51K IPA;American IPA;7.000000000000001
Grand Rabbits;Cream Ale;5.5
1800 Big Log Wheat (2012);American Pale Wheat Ale;5.0
Double Play Pilsner;American Pilsner;0.0
Brewerhood Brown Ale;American Brown Ale;5.5
Last Call Imperial Amber Ale;American Amber / Red Ale;8.0
Pernicious Double IPA;American Double / Imperial IPA;9.6
6-4-3 Double Play Pilsner;German Pilsener;5.2
N Street Drive-In 50th Anniversary IPA;American Double / Imperial IPA;0.0
467 Ethan's Stout;American Stout;5.0
1335 Wicked Snout;Saison / Farmhouse Ale;6.4
543 Skull Creek Fresh Hopped Pale Ale;American Pale Ale (APA);4.5
1327 Pod's ESB;Extra Special / Strong Bitter (ESB);5.6
1327 Pod's ESB;Extra Special / Strong Bitter (ESB);5.6
1327 Pod's ESB;Extra Special / Strong Bitter (ESB);5.6
834 Happy As Ale;American Pale Ale (APA);4.6
Yellow Collar;Mead;5.9
Green Collar;Mead;5.9
Quarter Mile Double IPA;American Double / Imperial IPA;8.0
Full Nelson Pale Ale;American Pale Ale (APA);5.9
Steel Wheels ESB;Extra Special / Strong Bitter (ESB);6.5
Blue Mountain Classic Lager;Euro Pale Lager;5.3
Full Nelson Pale Ale (2010);American Pale Ale (APA);5.9
Kölsch 151;Kölsch;4.9
Professor Black;American Stout;0.0
Little Boss;American Pale Wheat Ale;0.0
Van Dayum!;American Amber / Red Ale;0.0
Spirit Animal;American Pale Ale (APA);0.0
Toxic Sludge;American Black Ale;7.000000000000001
Blue Point White IPA;American White IPA;6.0
Blue Point Summer Ale;American Blonde Ale;4.4
Toasted Lager;Vienna Lager;5.5
Bohemian Export Lager;Dortmunder / Export Lager;6.0
Altus Bohemes Altbier;Altbier;5.3
Cherny Bock;Schwarzbier;4.0
Czech Pilsner;Czech Pilsener;5.0
Viennese Lager;Vienna Lager;5.0
Mad Manatee IPA;American IPA;6.5
Killer Whale Cream Ale;Cream Ale;5.5
Duke's Cold Nose Brown Ale;American Brown Ale;6.0
Longhop IPA;American IPA;4.2
Lucky Buck;Irish Dry Stout;4.0
Bomb Lager (New Recipe);Munich Helles Lager;5.1
Bomb Lager (Old Recipe);Munich Helles Lager;4.5
Firestarter India Pale Ale;American IPA;6.6000000000000005
Kilt Dropper Scotch Ale;Scotch Ale / Wee Heavy;7.5
Wood Splitter Pilsner;Czech Pilsener;4.8
Gyptoberfest;Märzen / Oktoberfest;5.6
Farmer Wirtz India Pale Ale;English India Pale Ale (IPA);7.000000000000001
Slow & Steady Golden Ale;American Blonde Ale;4.7
Pink-I Raspberry IPA;American IPA;6.800000000000001
Moe's Original Bar B Que 'Bama Brew Golden Ale;American Blonde Ale;4.7
Live Local Golden Ale;American Blonde Ale;4.7
Screaming Eagle Special Ale ESB;Extra Special / Strong Bitter (ESB);4.8
Dirtbag Dunkel;Munich Dunkel Lager;4.9
Kindler Pale Ale;American Pale Ale (APA);5.3
Mistress Winter Wheat;Winter Warmer;6.4
Tent Pole Vanilla Porter;American Porter;6.1
Awry Rye Pale Ale;American Pale Ale (APA);5.8
Demshitz Brown Ale;American Brown Ale;5.8
Wood Splitter Pilsner (2012);Czech Pilsener;4.8
Brush Creek Blonde;American Blonde Ale;4.8
Firestarter India Pale Ale;American IPA;6.6000000000000005
Noche Dulce;American Porter;7.1
Porch Rocker;Radler;4.5
Rebel IPA;American IPA;6.5
Cold Snap;Witbier;5.5
Samuel Adams Winter Lager;Bock;5.6
Boston Lager;Vienna Lager;4.9
Boston Lager;Vienna Lager;4.9
Samuel Adams Octoberfest;Märzen / Oktoberfest;5.3
Samuel Adams Summer Ale;American Pale Wheat Ale;5.3
Boston Lager;Vienna Lager;4.9
Hazed & Infused;American Pale Ale (APA);4.9
Hoopla Pale Ale;American Pale Ale (APA);5.7
Hazed & Infused (2010);American Pale Ale (APA);4.9
Heavy Lifting;American IPA;6.2
1492;American Pale Ale (APA);6.5
Mango Ginger;American IPA;5.8
Passenger;English Dark Mild Ale;4.7
Plum St. Porter;American Porter;6.0
Plum St. Porter;American Porter;5.7
Bozone HopZone IPA;American IPA;7.000000000000001
Bozone Hefe Weizen;Hefeweizen;6.0
Bozone Select Amber Ale;American Amber / Red Ale;5.5
Evil Owl;American Amber / Red Ale;5.2
Post Time Kölsch;Kölsch;5.0
Agave Wheat;American Pale Wheat Ale;4.2
SummerBright Ale;American Pale Wheat Ale;4.5
Lucky U IPA;American IPA;6.2
Avalanche Ale;American Amber / Red Ale;5.4
"You're My Boy; Blue",Fruit / Vegetable Beer;5.0
Last Stop IPA;American IPA;7.200000000000001
Rollin Dirty Red Ale;Irish Red Ale;5.0
Are Wheat There Yet?;American Pale Wheat Ale;5.5
Insert Hop Reference;American Pale Ale (APA);5.8
Manitou Amber;American Amber / Red Ale;5.3
Belfort;Saison / Farmhouse Ale;6.7
Star Runner;Belgian Pale Ale;6.0
Tart Side of the Barrel;American Double / Imperial Stout;9.8
Linnaeus Mango IPA;American IPA;6.0
Beasts A'Burnin';Rauchbier;7.000000000000001
Verdun;Bière de Garde;7.7
Barrel Aged Triomphe;Belgian IPA;6.5
Cherry Doppelbock;Doppelbock;6.5
Tropical Saison;Saison / Farmhouse Ale;6.5
Beach Patrol;Witbier;6.5
Nuit Serpent;Belgian IPA;5.0
Paris;Saison / Farmhouse Ale;9.0
The Grand Army;Belgian IPA;5.5
Acidulated Trip;Saison / Farmhouse Ale;5.9
Root Stock;Rye Beer;6.6000000000000005
Mind Games;Dunkelweizen;4.1
Sous Chef;Belgian Strong Pale Ale;8.2
Dubbelicious;Dubbel;6.5
Psychopomp;Belgian Dark Ale;6.2
Fat Paczki;Belgian Dark Ale;0.0
Earth-Like Planets;Belgian Pale Ale;0.0
Ski Patrol;Witbier;6.1
Viking Ice Hole;Oatmeal Stout;6.3
Rye Porter;American Porter;5.6
Wizard Burial Ground;Quadrupel (Quad);9.9
Smoky Wheat;Rauchbier;5.1
BRIPA;Belgian IPA;6.2
Mela;Belgian Dark Ale;6.2
W.I.P.A Snappa;Belgian IPA;5.3
Pepper in the Rye;Rye Beer;6.3
Moe Lasses';American Stout;6.4
Pumpkin Tart;Fruit / Vegetable Beer;7.000000000000001
Undertaker;Belgian Dark Ale;6.7
Undertaker (2014);Belgian Dark Ale;6.7
Coq D'Or;Belgian Pale Ale;5.0
North French;Bière de Garde;6.0
Agent a Deux;Belgian Dark Ale;6.5
Belgian Wit;Witbier;4.5
Pothole Stout;American Stout;6.3
Tree Bucket;Belgian IPA;9.3
Le Flaneur Ale;American Wild Ale;7.3
Maize & Blueberry;Fruit / Vegetable Beer;5.6
Trebuchet Double IPA;American Double / Imperial IPA;9.3
Contemplation;Bière de Garde;6.5
Black Rabbit;American Black Ale;5.0
Zaison;Saison / Farmhouse Ale;9.0
Vivant Tripel;Tripel;8.2
Tart Side of the Moon;Belgian Dark Ale;9.8
Big Red Coq;American Amber / Red Ale;6.0
Hubris Quadrupel Anniversary Ale;Quadrupel (Quad);9.9
Plow Horse Belgian Style Imperial Stout;American Double / Imperial Stout;9.5
Escoffier Bretta Ale;American Wild Ale;9.2
Contemplation (2012);Bière de Garde;6.5
Vivant Belgian Style Imperial Stout (2012);Russian Imperial Stout;9.9
Big Red Coq (2012);American Amber / Red Ale;6.2
Zaison (2012);Saison / Farmhouse Ale;9.0
Vivant Tripel (2012);Tripel;9.2
Trebuchet Double IPA (2012);Belgian IPA;9.7
Kludde;Belgian Strong Dark Ale;8.5
Farm Hand;Saison / Farmhouse Ale;5.5
Solitude;Belgian Pale Ale;6.0
Triomphe;Belgian IPA;6.5
Tampa Pale Ale;American Pale Ale (APA);0.0
Orange Grove Wheat Ale;American Pale Wheat Ale;0.0
Broad Brook Ale;American Amber / Red Ale;6.1
Northern Lights Amber Ale;American Amber / Red Ale;5.0
Polar Pale Ale;American Pale Ale (APA);5.2
Chugach Session Ale;Cream Ale;4.8
Fairweather IPA;American IPA;6.1
East India Pale Ale;English India Pale Ale (IPA);6.800000000000001
Brooklyn Summer Ale;English Pale Mild Ale;4.5
East India Pale Ale;English India Pale Ale (IPA);6.800000000000001
Brooklyn Summer Ale (2011);English Pale Mild Ale;4.5
Brooklyn Lager (16 oz.);American Amber / Red Lager;5.2
Brooklyn Lager (12 oz.);American Amber / Red Lager;5.2
Tour de Nez Belgian IPA (Current);Belgian IPA;8.0
Roler Bock (Current);Maibock / Helles Bock;0.0
Black Adder IBA (Current);American Black Ale;7.3
Very Noddy Lager (Current);Schwarzbier;9.9
Tule Duck Red Ale (Current);American Amber / Red Ale;6.2
Original Orange Blossom Ale (Current);Herbed / Spiced Beer;5.8
Black Noddy Lager (Current);Schwarzbier;5.2
Cleveland Beer Week 2013;Munich Helles Lager;5.3
Painted Turtle;American Pale Ale (APA);4.5
1836;American Blonde Ale;6.0
Summer's Wit;Witbier;6.0
More Cowbell;American Double / Imperial IPA;9.0
Wrath of Pele;American Brown Ale;6.5
Black Beer'd;American Black Ale;6.800000000000001
Mr. Tea;Fruit / Vegetable Beer;7.8
Pale Alement;American Pale Ale (APA);5.5
Hopkick Dropkick;American Double / Imperial IPA;9.9
Kreamed Corn;Cream Ale;6.0
Coconoats;American Pale Wheat Ale;6.5
Joey Wheat;American Pale Wheat Ale;6.800000000000001
3:33 Black IPA;American IPA;7.200000000000001
MCA;American IPA;6.800000000000001
Pale Alement;American Pale Ale (APA);5.5
Couch Select Lager;American Pale Lager;5.0
Mucho Aloha Hawaiian Pale Ale;American Pale Ale (APA);5.6
Heinnieweisse Weissebier;Hefeweizen;4.9
Snapperhead IPA;American IPA;6.800000000000001
Moo Thunder Stout;Milk / Sweet Stout;4.9
Porkslap Pale Ale;American Pale Ale (APA);4.3
Blackbeard;American Double / Imperial Stout;9.3
Rye Knot;American Brown Ale;6.2
Dead Arm;American Pale Ale (APA);6.0
32°/50° Kölsch;Kölsch;4.8
HopArt;American IPA;7.7
Boy King;American Double / Imperial IPA;9.7
Gran Sport;American Porter;5.2
Horny Toad Cerveza;American Blonde Ale;5.3
Native Amber;American Amber / Red Ale;6.3
F5 IPA;American IPA;6.800000000000001
Native Amber (2013);American Amber / Red Ale;6.3
Horny Toad Cerveza (2013);American Blonde Ale;5.3
Hopportunity Knocks IPA;American IPA;6.800000000000001
Pilot Rock Porter;American Porter;6.0
Caldera Pale Ale;American Pale Ale (APA);5.6
Lawnmower Lager;American Adjunct Lager;3.9
Ashland Amber Ale (2009);American Amber / Red Ale;5.4
Caldera IPA (2009);American IPA;6.1
Caldera IPA (2007);American IPA;6.1
Caldera Pale Ale (2010);American Pale Ale (APA);5.6
Caldera Pale Ale (2009);American Pale Ale (APA);5.6
Caldera Pale Ale (2005);American Pale Ale (APA);5.6
Caldera Pale Ale (2007);American Pale Ale (APA);5.6
Caldera Pale Ale (2011);American Pale Ale (APA);5.6
Ashland Amber Ale;American Amber / Red Ale;5.4
Caldera IPA;American IPA;6.1
Remain in Light;American Pilsner;5.0
Flower Child (2014);American IPA;6.5
THP White (2006);Witbier;0.0
THP Amber (2006);American Amber / Red Ale;0.0
THP Light (2006);American Blonde Ale;0.0
THP Dark (2006);English Dark Mild Ale;0.0
Imperial Pumpkin Stout;Pumpkin Ale;9.9
Dead-Eye DIPA;American Double / Imperial IPA;9.0
Fisherman's IPA;American IPA;5.5
Fisherman's Pils;German Pilsener;5.4
Fisherman's Brew;American Amber / Red Ale;5.5
Cape Cod Red;American Amber / Red Ale;5.5
Beach Blonde;American Blonde Ale;4.9
Dark Voyage Black IPA (2013);American Black Ale;6.5
Wisconsin Amber;Vienna Lager;5.2
Lake House;Munich Helles Lager;4.6
Ghost Ship White IPA;American IPA;5.6
Lake House;Munich Helles Lager;4.6
Mutiny IPA;American IPA;6.2
Wisconsin Amber (1998);Vienna Lager;5.2
Island Wheat;American Pale Wheat Ale;4.2
Wisconsin Amber (2013);Vienna Lager;5.2
U.S. Pale Ale;American Pale Ale (APA);5.0
Supper Club Lager;American Pale Lager;0.0
Carolina Lighthouse (2007);American Blonde Ale;4.0
Carolina Blonde (2006);American Blonde Ale;5.0
Carolina Blonde Light (2005);American Blonde Ale;3.5000000000000004
Santa's Secret;Winter Warmer;5.9
Flagship IPA;English India Pale Ale (IPA);5.7
Sky Blue Golden Ale;Kölsch;5.1
Epitome;American Black Ale;9.9
Monkey Chased the Weasel;Berliner Weissbier;3.9
077XX;American Double / Imperial IPA;7.8
Boat Beer;American IPA;4.2
Granny Smith Hard Apple Cider;Cider;6.9
Dry Hard Apple Cider;Cider;6.9
Farmer Ted's Cream Ale;Cream Ale;5.6
Firewater India Pale Ale;American IPA;5.2
White Zombie Ale;Witbier;4.7
King Winterbolt Winter Ale;Winter Warmer;7.000000000000001
White Zombie Ale;Witbier;4.7
Firewater India Pale Ale;American IPA;5.2
Farmer Ted's Farmhouse Cream Ale;Cream Ale;5.6
Whitecap Wit;Witbier;4.8
Seiche Scottish Ale;Scottish Ale;7.8
Peanut Butter Jelly Time;American Brown Ale;5.8
King Coconut;American Porter;5.4
Gone A-Rye;American Double / Imperial IPA;8.5
Special Release;;0.0
Dankosaurus;American IPA;6.800000000000001
Scruffy's Smoked Alt;Smoked Beer;5.1
Elliott's Phoned Home Pale Ale;American Pale Ale (APA);5.1
The Lawn Ranger;Cream Ale;5.0
All American Blonde Ale;American Blonde Ale;5.0
All American Red Ale;American Amber / Red Ale;5.0
Main St. Virginia Ale;Altbier;5.0
Chin Music Amber Lager;American Amber / Red Lager;4.5
Main St. Virginia Ale;Altbier;5.0
Ray Ray’s Pale Ale;American Pale Ale (APA);5.2
Chai Ale;Herbed / Spiced Beer;5.1
Lucky Day IPA;American IPA;7.200000000000001
Terrace Hill Double IPA;American Double / Imperial IPA;9.5
Catch 23;American Black Ale;7.5
Stickin' In My Rye;Rye Beer;7.000000000000001
Black Me Stout;American Stout;6.0
Killer Kolsch;Kölsch;5.0
Missile IPA;American IPA;7.000000000000001
Enlighten;Kölsch;4.5
Ale Cider;Fruit / Vegetable Beer;6.5
Pail Ale;American Pale Ale (APA);5.5
Englishman;English Brown Ale;4.5
8 Barrel;American Strong Ale;8.0
Oktoberfest;Märzen / Oktoberfest;5.5
"IPA #11";American IPA;5.7
Blood Orange Honey;Fruit / Vegetable Beer;5.7
Lighthouse Amber;Altbier;5.2
Bay of Bengal Double IPA (2014);American Double / Imperial IPA;8.9
